Linux 4.4.0-142-generic (node0.g16-a2.cs744-s19-pg0.wisc.cloudlab.us) 	04/19/2019 	_x86_64_	(40 CPU)

12:02:25 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:02:26 PM     all      0.87      0.00      1.72      0.00      0.00     97.40
12:02:27 PM     all     14.86      0.00      3.33      0.00      0.00     81.82
12:02:28 PM     all      7.22      0.00      2.38      0.00      0.00     90.40
12:02:29 PM     all     58.77      0.00      8.02      0.00      0.00     33.22
12:02:30 PM     all     86.37      0.00      9.10      0.00      0.00      4.53
12:02:31 PM     all     38.21      0.00     11.67      0.00      0.00     50.13
12:02:32 PM     all     32.88      0.00      1.77      0.00      0.00     65.34
12:02:33 PM     all      5.80      0.00      1.61      0.00      0.00     92.59
12:02:34 PM     all     42.45      0.00      6.62      0.00      0.00     50.93
12:02:35 PM     all     92.05      0.00      4.93      0.00      0.00      3.02
12:02:36 PM     all     54.68      0.00      2.15      1.05      0.00     42.12
12:02:37 PM     all     36.16      0.00      5.93      0.00      0.00     57.91
12:02:38 PM     all     49.39      0.00      9.89      0.00      0.00     40.73
12:02:39 PM     all     89.23      0.00      6.83      0.00      0.00      3.94
12:02:40 PM     all     51.85      0.00      3.17      0.00      0.00     44.97
12:02:41 PM     all     35.34      0.00      1.08      0.00      0.00     63.58
12:02:42 PM     all     50.64      0.00     10.45      0.00      0.00     38.91
12:02:43 PM     all     85.94      0.00      7.92      0.00      0.00      6.14
12:02:44 PM     all     54.31      0.00      3.88      0.00      0.00     41.80
12:02:45 PM     all     30.14      0.00      1.04      0.00      0.00     68.83
12:02:46 PM     all     51.15      0.00     11.53      0.00      0.00     37.33
12:02:47 PM     all     88.60      0.00      5.47      0.00      0.00      5.92
12:02:48 PM     all     52.13      0.00      3.04      0.00      0.00     44.83
12:02:49 PM     all     34.61      0.00      1.01      0.00      0.00     64.37
12:02:50 PM     all     51.24      0.00      8.23      0.00      0.00     40.53
12:02:51 PM     all     88.77      0.00      4.93      0.00      0.00      6.30
12:02:52 PM     all     49.81      0.00      2.48      0.00      0.00     47.71
12:02:53 PM     all     33.53      0.00     10.31      0.00      0.00     56.17
12:02:54 PM     all     47.72      0.00     10.92      0.00      0.00     41.36
12:02:55 PM     all     90.18      0.00      5.84      0.00      0.00      3.98
12:02:56 PM     all     48.11      0.00     10.94      0.00      0.00     40.95
12:02:57 PM     all     32.75      0.00      2.00      0.00      0.00     65.25
12:02:58 PM     all     43.43      0.00     11.03      0.00      0.00     45.55
