Linux 4.4.0-142-generic (node0.g16-a2.cs744-s19-pg0.wisc.cloudlab.us) 	04/19/2019 	_x86_64_	(40 CPU)

12:02:28 PM       tps      rtps      wtps   bread/s   bwrtn/s
12:02:29 PM      0.00      0.00      0.00      0.00      0.00
12:02:30 PM     23.00      0.00     23.00      0.00   1952.00
12:02:31 PM      5.00      0.00      5.00      0.00    208.00
12:02:32 PM      0.00      0.00      0.00      0.00      0.00
12:02:33 PM      0.00      0.00      0.00      0.00      0.00
12:02:34 PM      0.00      0.00      0.00      0.00      0.00
12:02:35 PM    214.00      0.00    214.00      0.00 222608.00
12:02:36 PM    372.00      0.00    372.00      0.00 380928.00
12:02:37 PM    348.00      0.00    348.00      0.00 353784.00
12:02:38 PM      0.00      0.00      0.00      0.00      0.00
12:02:39 PM      0.00      0.00      0.00      0.00      0.00
12:02:40 PM      0.00      0.00      0.00      0.00      0.00
12:02:41 PM      3.00      0.00      3.00      0.00    392.00
12:02:42 PM      0.00      0.00      0.00      0.00      0.00
12:02:43 PM      0.00      0.00      0.00      0.00      0.00
12:02:44 PM      0.00      0.00      0.00      0.00      0.00
12:02:45 PM      0.00      0.00      0.00      0.00      0.00
12:02:46 PM      3.00      0.00      3.00      0.00    400.00
12:02:47 PM      0.00      0.00      0.00      0.00      0.00
12:02:48 PM      0.00      0.00      0.00      0.00      0.00
12:02:49 PM      0.00      0.00      0.00      0.00      0.00
12:02:50 PM      0.00      0.00      0.00      0.00      0.00
12:02:51 PM      3.00      0.00      3.00      0.00    720.00
12:02:52 PM      0.00      0.00      0.00      0.00      0.00
12:02:53 PM      0.00      0.00      0.00      0.00      0.00
12:02:54 PM      0.00      0.00      0.00      0.00      0.00
12:02:55 PM      0.00      0.00      0.00      0.00      0.00
12:02:56 PM      0.00      0.00      0.00      0.00      0.00
12:02:57 PM      3.00      0.00      3.00      0.00    400.00
12:02:58 PM      0.00      0.00      0.00      0.00      0.00
12:02:59 PM      0.00      0.00      0.00      0.00      0.00
12:03:00 PM     33.00      0.00     33.00      0.00   1496.00
12:03:01 PM      0.00      0.00      0.00      0.00      0.00
12:03:02 PM      3.00      0.00      3.00      0.00     80.00
12:03:03 PM      0.00      0.00      0.00      0.00      0.00
12:03:04 PM      0.00      0.00      0.00      0.00      0.00
12:03:05 PM      0.00      0.00      0.00      0.00      0.00
12:03:06 PM      6.00      0.00      6.00      0.00    392.00
12:03:07 PM      3.00      0.00      3.00      0.00    408.00
12:03:08 PM      3.00      0.00      3.00      0.00     88.00
12:03:09 PM      0.00      0.00      0.00      0.00      0.00
12:03:10 PM      0.00      0.00      0.00      0.00      0.00
12:03:11 PM      9.00      0.00      9.00      0.00    416.00
12:03:12 PM      0.00      0.00      0.00      0.00      0.00
12:03:13 PM      2.00      0.00      2.00      0.00    144.00
