Linux 4.4.0-142-generic (node0.g16-a2.cs744-s19-pg0.wisc.cloudlab.us) 	04/19/2019 	_x86_64_	(40 CPU)

12:12:48 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:12:49 PM     all      0.00      0.00      0.03      0.00      0.00     99.98
12:12:50 PM     all      0.03      0.00      0.00      0.00      0.00     99.98
12:12:51 PM     all      0.00      0.00      0.08      0.00      0.00     99.92
12:12:52 PM     all      0.02      0.00      0.05      0.00      0.00     99.93
12:12:53 PM     all      0.00      0.00      0.12      0.00      0.00     99.88
12:12:54 PM     all      0.00      0.00      0.07      0.00      0.00     99.92
12:12:55 PM     all      0.03      0.00      0.07      0.00      0.00     99.90
12:12:56 PM     all      0.00      0.00      0.10      0.00      0.00     99.90
12:12:57 PM     all      0.55      0.00      0.25      0.00      0.00     99.20
12:12:58 PM     all      2.73      0.00      4.71      0.00      0.00     92.56
12:12:59 PM     all      8.47      0.00      8.35      0.00      0.00     83.18
12:13:00 PM     all      2.45      0.00      0.20      0.00      0.00     97.35
12:13:01 PM     all      2.48      0.00      0.12      0.00      0.00     97.40
12:13:02 PM     all      2.20      0.00      7.00      0.00      0.00     90.80
12:13:03 PM     all      1.00      0.00      1.60      0.00      0.00     97.40
12:13:04 PM     all      0.90      0.00      1.70      0.00      0.00     97.40
12:13:05 PM     all     13.06      0.00      3.00      0.00      0.00     83.94
12:13:06 PM     all     10.09      0.00      2.88      0.00      0.00     87.03
12:13:07 PM     all     18.34      0.00      3.82      0.00      0.00     77.84
12:13:08 PM     all     71.33      0.00      7.51      0.00      0.00     21.16
12:13:09 PM     all     87.95      0.00      4.84      0.00      0.00      7.21
12:13:10 PM     all     61.92      0.00     14.89      0.00      0.00     23.19
12:13:11 PM     all     43.29      0.00      1.49      0.00      0.00     55.22
12:13:12 PM     all     18.84      0.00      1.11      0.00      0.00     80.05
12:13:13 PM     all      0.68      0.00      1.93      0.00      0.00     97.40
12:13:14 PM     all     31.58      0.00      8.20      0.60      0.00     59.62
12:13:15 PM     all     80.25      0.00      7.35      0.28      0.00     12.13
12:13:16 PM     all     94.17      0.00      4.00      0.03      0.00      1.80
12:13:17 PM     all     45.80      0.00     10.84      0.00      0.00     43.36
12:13:18 PM     all     36.08      0.00      2.03      0.00      0.00     61.89
12:13:19 PM     all     34.41      0.00      4.66      0.00      0.00     60.92
12:13:20 PM     all     74.03      0.00     10.93      0.00      0.00     15.04
12:13:21 PM     all     94.37      0.00      3.63      0.00      0.00      2.00
12:13:22 PM     all     60.11      0.00     13.81      0.00      0.00     26.08
12:13:23 PM     all     34.60      0.00      3.31      0.00      0.00     62.09
12:13:24 PM     all     31.75      0.00      7.66      0.00      0.00     60.58
12:13:25 PM     all     62.93      0.00      7.62      0.00      0.00     29.45
12:13:26 PM     all     91.78      0.00      5.70      0.00      0.00      2.52
12:13:27 PM     all     75.74      0.00      7.11      0.00      0.00     17.14
12:13:28 PM     all     35.34      0.00      1.10      0.00      0.00     63.55
12:13:29 PM     all     33.73      0.00      4.28      0.00      0.00     61.99
12:13:30 PM     all     67.81      0.00      6.92      0.00      0.00     25.27
12:13:31 PM     all     92.07      0.00      3.33      0.00      0.00      4.60
12:13:32 PM     all     73.29      0.00      6.71      0.00      0.00     20.00
12:13:33 PM     all     33.31      0.00      9.07      0.00      0.00     57.62
12:13:34 PM     all     31.27      0.00      7.23      0.00      0.00     61.51
12:13:35 PM     all     52.04      0.00      7.17      0.00      0.00     40.79
12:13:36 PM     all     90.84      0.00      2.95      0.00      0.00      6.22
12:13:37 PM     all     80.37      0.00      9.18      0.00      0.00     10.45
12:13:38 PM     all     45.07      0.00      1.85      0.00      0.00     53.08
12:13:39 PM     all     30.07      0.00      7.36      0.00      0.00     62.57
12:13:40 PM     all     48.44      0.00      7.35      0.00      0.00     44.21
12:13:41 PM     all     90.36      0.00      4.41      0.00      0.00      5.23
