Linux 4.4.0-142-generic (node0.g16-a2.cs744-s19-pg0.wisc.cloudlab.us) 	04/19/2019 	_x86_64_	(40 CPU)

12:12:52 PM       tps      rtps      wtps   bread/s   bwrtn/s
12:12:53 PM      5.00      0.00      5.00      0.00    104.00
12:12:54 PM      0.00      0.00      0.00      0.00      0.00
12:12:55 PM      0.00      0.00      0.00      0.00      0.00
12:12:56 PM      0.00      0.00      0.00      0.00      0.00
12:12:57 PM      0.00      0.00      0.00      0.00      0.00
12:12:58 PM     15.00      0.00     15.00      0.00    264.00
12:12:59 PM      0.00      0.00      0.00      0.00      0.00
12:13:00 PM      0.00      0.00      0.00      0.00      0.00
12:13:01 PM      0.00      0.00      0.00      0.00      0.00
12:13:02 PM      0.00      0.00      0.00      0.00      0.00
12:13:03 PM     25.00      0.00     25.00      0.00    312.00
12:13:04 PM      0.00      0.00      0.00      0.00      0.00
12:13:05 PM      0.00      0.00      0.00      0.00      0.00
12:13:06 PM      0.00      0.00      0.00      0.00      0.00
12:13:07 PM      0.00      0.00      0.00      0.00      0.00
12:13:08 PM      0.00      0.00      0.00      0.00      0.00
12:13:09 PM     11.00      0.00     11.00      0.00   2896.00
12:13:10 PM      0.00      0.00      0.00      0.00      0.00
12:13:11 PM      0.00      0.00      0.00      0.00      0.00
12:13:12 PM      0.00      0.00      0.00      0.00      0.00
12:13:13 PM      0.00      0.00      0.00      0.00      0.00
12:13:14 PM    709.00      0.00    709.00      0.00 716344.00
12:13:15 PM    709.00      0.00    709.00      0.00 719408.00
12:13:16 PM      0.00      0.00      0.00      0.00      0.00
12:13:17 PM      0.00      0.00      0.00      0.00      0.00
12:13:18 PM      0.00      0.00      0.00      0.00      0.00
12:13:19 PM      3.00      0.00      3.00      0.00    568.00
12:13:20 PM      0.00      0.00      0.00      0.00      0.00
12:13:21 PM      0.00      0.00      0.00      0.00      0.00
12:13:22 PM      0.00      0.00      0.00      0.00      0.00
12:13:23 PM      0.00      0.00      0.00      0.00      0.00
12:13:24 PM      4.00      0.00      4.00      0.00    584.00
12:13:25 PM      0.00      0.00      0.00      0.00      0.00
12:13:26 PM      0.00      0.00      0.00      0.00      0.00
12:13:27 PM      0.00      0.00      0.00      0.00      0.00
12:13:28 PM      0.00      0.00      0.00      0.00      0.00
12:13:29 PM      5.00      0.00      5.00      0.00    592.00
12:13:30 PM      0.00      0.00      0.00      0.00      0.00
12:13:31 PM      0.00      0.00      0.00      0.00      0.00
12:13:32 PM      0.00      0.00      0.00      0.00      0.00
12:13:33 PM      0.00      0.00      0.00      0.00      0.00
12:13:34 PM      2.00      0.00      2.00      0.00     40.00
12:13:35 PM      0.00      0.00      0.00      0.00      0.00
12:13:36 PM      0.00      0.00      0.00      0.00      0.00
12:13:37 PM      0.00      0.00      0.00      0.00      0.00
12:13:38 PM      0.00      0.00      0.00      0.00      0.00
12:13:39 PM      6.00      0.00      6.00      0.00    640.00
12:13:40 PM      0.00      0.00      0.00      0.00      0.00
12:13:41 PM      0.00      0.00      0.00      0.00      0.00
12:13:42 PM      0.00      0.00      0.00      0.00      0.00
12:13:43 PM      0.00      0.00      0.00      0.00      0.00
12:13:44 PM     51.00      0.00     51.00      0.00   2208.00
12:13:45 PM      0.00      0.00      0.00      0.00      0.00
12:13:46 PM      0.00      0.00      0.00      0.00      0.00
12:13:47 PM      0.00      0.00      0.00      0.00      0.00
12:13:48 PM      0.00      0.00      0.00      0.00      0.00
12:13:49 PM      6.00      0.00      6.00      0.00    600.00
12:13:50 PM      0.00      0.00      0.00      0.00      0.00
12:13:51 PM      0.00      0.00      0.00      0.00      0.00
12:13:52 PM      0.00      0.00      0.00      0.00      0.00
12:13:53 PM      0.00      0.00      0.00      0.00      0.00
12:13:54 PM      6.00      0.00      6.00      0.00    600.00
12:13:55 PM      0.00      0.00      0.00      0.00      0.00
12:13:56 PM      0.00      0.00      0.00      0.00      0.00
12:13:57 PM      0.00      0.00      0.00      0.00      0.00
12:13:58 PM      0.00      0.00      0.00      0.00      0.00
12:13:59 PM     12.00      0.00     12.00      0.00    664.00
12:14:00 PM      0.00      0.00      0.00      0.00      0.00
12:14:01 PM      0.00      0.00      0.00      0.00      0.00
12:14:02 PM      0.00      0.00      0.00      0.00      0.00
12:14:03 PM      0.00      0.00      0.00      0.00      0.00
12:14:04 PM      7.00      0.00      7.00      0.00    616.00
12:14:05 PM      0.00      0.00      0.00      0.00      0.00
12:14:06 PM      0.00      0.00      0.00      0.00      0.00
12:14:07 PM      0.00      0.00      0.00      0.00      0.00
12:14:08 PM      0.00      0.00      0.00      0.00      0.00
12:14:09 PM      6.00      0.00      6.00      0.00    544.00
12:14:10 PM      2.00      0.00      2.00      0.00     64.00
12:14:11 PM      0.00      0.00      0.00      0.00      0.00
12:14:12 PM      0.00      0.00      0.00      0.00      0.00
12:14:13 PM      0.00      0.00      0.00      0.00      0.00
12:14:14 PM      0.00      0.00      0.00      0.00      0.00
12:14:15 PM      9.00      0.00      9.00      0.00    624.00
12:14:16 PM      0.00      0.00      0.00      0.00      0.00
12:14:17 PM      0.00      0.00      0.00      0.00      0.00
12:14:18 PM      0.00      0.00      0.00      0.00      0.00
12:14:19 PM      0.00      0.00      0.00      0.00      0.00
12:14:20 PM     13.00      0.00     13.00      0.00    656.00
12:14:21 PM      0.00      0.00      0.00      0.00      0.00
12:14:22 PM      0.00      0.00      0.00      0.00      0.00
12:14:23 PM      0.00      0.00      0.00      0.00      0.00
12:14:24 PM      0.00      0.00      0.00      0.00      0.00
12:14:25 PM     11.00      0.00     11.00      0.00    648.00
12:14:26 PM      0.00      0.00      0.00      0.00      0.00
12:14:27 PM      0.00      0.00      0.00      0.00      0.00
12:14:28 PM      0.00      0.00      0.00      0.00      0.00
12:14:29 PM      0.00      0.00      0.00      0.00      0.00
12:14:30 PM     13.00      0.00     13.00      0.00    664.00
12:14:31 PM      0.00      0.00      0.00      0.00      0.00
12:14:32 PM      0.00      0.00      0.00      0.00      0.00
12:14:33 PM      0.00      0.00      0.00      0.00      0.00
12:14:34 PM      0.00      0.00      0.00      0.00      0.00
12:14:35 PM     11.00      0.00     11.00      0.00    648.00
12:14:36 PM      0.00      0.00      0.00      0.00      0.00
12:14:37 PM      0.00      0.00      0.00      0.00      0.00
12:14:38 PM      0.00      0.00      0.00      0.00      0.00
12:14:39 PM      0.00      0.00      0.00      0.00      0.00
12:14:40 PM     14.00      0.00     14.00      0.00    680.00
12:14:41 PM      0.00      0.00      0.00      0.00      0.00
12:14:42 PM      0.00      0.00      0.00      0.00      0.00
12:14:43 PM      0.00      0.00      0.00      0.00      0.00
12:14:44 PM      0.00      0.00      0.00      0.00      0.00
12:14:45 PM      6.00      0.00      6.00      0.00    600.00
12:14:46 PM      0.00      0.00      0.00      0.00      0.00
12:14:47 PM      0.00      0.00      0.00      0.00      0.00
12:14:48 PM      0.00      0.00      0.00      0.00      0.00
12:14:49 PM      0.00      0.00      0.00      0.00      0.00
12:14:50 PM      8.00      0.00      8.00      0.00    640.00
12:14:51 PM      0.00      0.00      0.00      0.00      0.00
12:14:52 PM      0.00      0.00      0.00      0.00      0.00
12:14:53 PM      0.00      0.00      0.00      0.00      0.00
12:14:54 PM      0.00      0.00      0.00      0.00      0.00
12:14:55 PM      8.00      0.00      8.00      0.00    624.00
12:14:56 PM      0.00      0.00      0.00      0.00      0.00
12:14:57 PM      0.00      0.00      0.00      0.00      0.00
12:14:58 PM      0.00      0.00      0.00      0.00      0.00
12:14:59 PM      0.00      0.00      0.00      0.00      0.00
12:15:00 PM      6.00      0.00      6.00      0.00    608.00
12:15:01 PM      0.00      0.00      0.00      0.00      0.00
12:15:02 PM      0.00      0.00      0.00      0.00      0.00
12:15:03 PM      0.00      0.00      0.00      0.00      0.00
12:15:04 PM      0.00      0.00      0.00      0.00      0.00
12:15:05 PM      9.00      0.00      9.00      0.00   1208.00
12:15:06 PM      0.00      0.00      0.00      0.00      0.00
12:15:07 PM      0.00      0.00      0.00      0.00      0.00
12:15:08 PM      0.00      0.00      0.00      0.00      0.00
12:15:09 PM      0.00      0.00      0.00      0.00      0.00
12:15:10 PM     16.00      0.00     16.00      0.00    736.00
12:15:11 PM      0.00      0.00      0.00      0.00      0.00
12:15:12 PM      0.00      0.00      0.00      0.00      0.00
12:15:13 PM      0.00      0.00      0.00      0.00      0.00
12:15:14 PM      0.00      0.00      0.00      0.00      0.00
12:15:15 PM      2.00      0.00      2.00      0.00     40.00
12:15:16 PM      5.00      0.00      5.00      0.00    544.00
12:15:17 PM      0.00      0.00      0.00      0.00      0.00
12:15:18 PM      0.00      0.00      0.00      0.00      0.00
12:15:19 PM      0.00      0.00      0.00      0.00      0.00
12:15:20 PM      0.00      0.00      0.00      0.00      0.00
12:15:21 PM     16.00      0.00     16.00      0.00    704.00
12:15:22 PM      0.00      0.00      0.00      0.00      0.00
12:15:23 PM      0.00      0.00      0.00      0.00      0.00
12:15:24 PM      0.00      0.00      0.00      0.00      0.00
12:15:25 PM      0.00      0.00      0.00      0.00      0.00
12:15:26 PM     10.00      0.00     10.00      0.00    656.00
12:15:27 PM      0.00      0.00      0.00      0.00      0.00
12:15:28 PM      0.00      0.00      0.00      0.00      0.00
12:15:29 PM      0.00      0.00      0.00      0.00      0.00
12:15:30 PM      0.00      0.00      0.00      0.00      0.00
12:15:31 PM     12.00      0.00     12.00      0.00    696.00
12:15:32 PM      0.00      0.00      0.00      0.00      0.00
12:15:33 PM      0.00      0.00      0.00      0.00      0.00
12:15:34 PM      0.00      0.00      0.00      0.00      0.00
12:15:35 PM      0.00      0.00      0.00      0.00      0.00
12:15:36 PM      9.00      0.00      9.00      0.00    640.00
12:15:37 PM      0.00      0.00      0.00      0.00      0.00
12:15:38 PM      0.00      0.00      0.00      0.00      0.00
